Date,Open,High,Low,Close
2012-01-17,10419.5,10505.55,10412.4,10483
2012-01-18,10463.6,10502.45,10386.3,10465
2012-01-19,10490.45,10528.55,10422.65,10451
2012-01-20,10475.6,10516.3,10164.85,10211
2012-01-23,10221.55,10354.45,10133.05,10315
2012-01-24,10350.2,10371.6,10306.15,10331
2012-01-25,10349.1,10409.45,10322.55,10389
2012-01-27,10465.05,10471.9,10182.7,10257
2012-01-30,10253,10318.15,10163.5,10188
2012-01-31,10255.7,10345.05,10224.5,10327
2012-02-01,10315.05,10343.35,10251.1,10326
2012-02-02,10345.6,10363.8,10283.25,10309
2012-02-03,10316.1,10490.5,10272.95,10466
2012-02-06,10528.6,10576.9,10421.95,10451
2012-02-07,10513.55,10518.35,10424.6,10484
2012-02-08,10500,10570.9,10425.85,10498
2012-02-09,10455.55,10554.25,10453.65,10528
2012-02-10,10525.2,10564.2,10456.3,10496
2012-02-13,10501.55,10537.15,10456.05,10479
2012-02-14,10470.95,10534.1,10467.4,10485
2012-02-15,10511.25,10545.75,10471.95,10505
2012-02-16,10517.9,10530.2,10463.75,10499
2012-02-17,10513.25,10562.7,10495.2,10545
2012-02-21,10554.7,10656.6,10554.7,10589
2012-02-22,10572.65,10623.4,10454.1,10528
2012-02-23,10529.3,10652.05,10529.3,10604
2012-02-24,10612.8,10700.95,10581.55,10629
2012-02-27,10662.4,10747.15,10614.45,10654
2012-02-28,10653.9,10725.5,10626.9,10642
2012-02-29,10656.1,10753.25,10537.3,10560
2012-03-01,10555.1,10597,10467.65,10517
2012-03-02,10520.85,10555.35,10404.75,10482
2012-03-03,10466.8,10504.9,10447.3,10463
2012-03-05,10459.05,10522.95,10389.35,10494
2012-03-06,10471.45,10673.4,10424.1,10574
2012-03-07,10569.25,10621,10510.7,10580
2012-03-09,10629.85,10692.05,10540.75,10561
2012-03-12,10629.2,10630.05,10520.65,10570
2012-03-13,10578.8,10705.95,10578.8,10692
2012-03-14,10735.7,10810.25,10735.7,10784
2012-03-15,10781.45,10798.35,10622.95,10692
2012-03-16,10683.4,11149.45,10683.4,10894
2012-03-19,10923,11106.8,10877.95,11020
2012-03-20,11025.75,11169.1,10999.35,11136
2012-03-21,11135.75,11279.2,11105.05,11241
2012-03-22,11241.7,11363.6,11009.35,11053
2012-03-23,11105.05,11244.3,11071.45,11165
2012-03-26,11180.9,11228.15,11102,11165
2012-03-27,11205.7,11396.3,11174.8,11359
2012-03-28,11355.7,11423.4,11315,11371
2012-03-29,11283.8,11368.8,11198.65,11292
2012-03-30,11298,11448.3,11298,11426
2012-04-02,11430.25,11458.2,11391.25,11438
2012-04-03,11484.25,11514.85,11448,11461
2012-04-04,11445.35,11463.4,11386.05,11431
2012-04-09,11391.75,11447.55,11360.3,11377
2012-04-10,11384.3,11600.15,11374,11578
2012-04-11,11556.35,11642.95,11481.9,11590
2012-04-12,11557.15,11776.6,11557.15,11764
2012-04-13,11779.65,11976.35,11719.2,11822
2012-04-16,11806.1,11996.75,11774.35,11955
2012-04-17,12083.1,12161.15,11921.35,12125
2012-04-18,12133,12201.3,12009.9,12041
2012-04-19,12072.1,12194.15,11962.5,12155
2012-04-20,12145.8,12242.6,12067.05,12175
2012-04-23,12180.05,12239.45,12046.05,12057
2012-04-24,12073.5,12122.55,11861.7,12098
2012-04-25,12102.05,12178.4,12012.9,12152
2012-04-26,12160.05,12247.35,12107.4,12215
2012-04-27,12201.55,12329.3,12088.55,12115
2012-04-28,12156.35,12188.6,12146.9,12177
2012-04-30,12208.75,12255.55,12120.3,12139
2012-05-02,12207.75,12307.1,12129.9,12168
2012-05-03,12177.7,12205.3,12083.9,12115
2012-05-04,12095.05,12204.7,11965.8,11990
2012-05-07,11873.2,11912.3,11753.9,11879
2012-05-08,11897.95,12074.35,11499.7,11580
2012-05-09,11666,11989.5,11584.6,11944
2012-05-10,11979.45,12058.6,11858.2,11940
2012-05-11,11905.8,11905.8,11674.75,11769
2012-05-14,11772.5,11831.45,11721.6,11795
2012-05-15,11729.25,11829.8,11663.2,11701
2012-05-16,11635.85,11695.1,11528.15,11564
2012-05-17,11617.85,11910.85,11617.85,11794
2012-05-18,11703.75,11976.1,11623.2,11935
2012-05-21,11933.9,11999.3,11731.4,11764
2012-05-22,11845.45,11882,11617.65,11677
2012-05-23,11624.05,11691.3,11573.7,11666
2012-05-24,11671.85,11748.45,11632.15,11714
